CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
1003010704,Alabama,Baldwin,5411,2635,2776,6.0,79.8,12.1,0.0,0.3,0.0,3625,62015.0,8694.0,27384.0,3275.0,3.0,3.8,46.9,11.9,24.3,7.7,9.1,88.3,6.1,0.0,0.4,1.2,4.0,27.9,2440,85.4,11.1,3.5,0.0,6.8
1003010705,Alabama,Baldwin,9403,4756,4647,2.5,76.8,17.2,0.0,1.9,0.0,7307,48816.0,6828.0,26209.0,2483.0,13.2,13.3,39.2,17.5,25.3,8.7,9.3,91.4,2.1,0.0,0.0,3.0,3.5,28.7,5379,91.1,6.5,2.3,0.0,4.7
1003010800,Alabama,Baldwin,7645,3813,3832,0.0,68.4,31.3,0.0,0.1,0.0,5979,51604.0,16037.0,29197.0,4681.0,18.8,28.0,36.4,18.3,21.6,8.5,15.2,84.7,10.6,0.0,0.0,1.4,3.3,23.4,3457,85.8,10.4,3.8,0.0,8.5
1003010903,Alabama,Baldwin,5810,3054,2756,6.0,76.9,15.2,1.2,0.0,0.0,4584,48448.0,6550.0,18595.0,1622.0,14.0,14.1,24.7,15.5,33.3,14.9,11.6,89.1,6.7,0.0,1.0,0.6,2.7,27.4,2345,83.1,11.7,5.2,0.0,10.1
1003010904,Alabama,Baldwin,6949,3314,3635,6.9,86.6,1.6,3.6,0.3,0.0,5093,44621.0,5660.0,22317.0,3136.0,12.7,21.1,21.1,15.9,26.5,19.2,17.3,83.9,9.2,0.0,0.0,4.0,2.9,28.0,2816,75.5,14.6,8.9,1.0,9.5
1003010905,Alabama,Baldwin,7814,3768,4046,8.5,82.0,6.8,0.3,0.2,0.0,6307,45859.0,9630.0,22953.0,2214.0,14.5,23.4,14.6,18.8,34.4,22.1,10.0,81.5,8.7,1.5,1.5,0.0,6.8,26.0,4024,80.6,10.1,9.3,0.0,8.0
1003010906,Alabama,Baldwin,5029,2557,2472,6.3,90.1,2.4,0.8,0.0,0.0,3499,42474.0,8216.0,17743.0,2394.0,9.3,10.9,25.8,15.8,24.0,16.8,17.6,71.5,23.9,0.0,0.4,0.0,4.1,27.9,2184,86.2,12.8,1.0,0.0,2.2
1003011000,Alabama,Baldwin,4195,2289,1906,4.4,84.5,5.5,4.5,0.0,0.0,3418,28979.0,9681.0,19416.0,3709.0,29.3,36.9,14.0,27.3,31.3,12.1,15.2,79.4,13.6,0.0,2.4,0.1,4.5,24.2,1675,79.3,7.5,11.1,2.1,10.6
1003011101,Alabama,Baldwin,9220,4221,4999,4.3,93.0,2.0,0.0,0.3,0.0,6813,61590.0,7885.0,30438.0,2724.0,7.1,9.5,40.4,20.6,23.6,4.9,10.5,85.1,4.4,0.0,2.4,1.4,6.7,24.0,4133,82.0,10.1,7.9,0.0,5.6
1003011102,Alabama,Baldwin,4181,1967,2214,1.2,92.9,0.9,0.2,0.0,0.0,3008,60807.0,12411.0,29295.0,4740.0,11.0,12.5,29.6,19.8,26.8,11.6,12.3,88.1,2.4,0.6,0.0,1.5,7.5,26.1,1857,82.9,7.9,6.8,2.5,9.1
